No DE LIBRO,TITULO DEL LIBRO (MEMORIA INSTITUCIONAL. MI),AUTOR,AÑO
194,"Estudio de Factibilidad  para la Solución del  Problema  de Drenaje  y Control de Inundaciones en El Caño Bugre y Ciénaga Grande de Lorica y Diseño del Sistema de Drenaje de la Isla Lara,  Informe Final Preliminar - Hidrologia y Climatología- Anexo  A"," CVS, Gómez Cajiao Asociados CIA. Ltda.  ","1,991"
195,"Estudio de Factibilidad  para la Solución del  Problema  de Drenaje  y Control de Inundaciones en El Caño Bugre y Ciénaga Grande de Lorica y Diseño del Sistema de Drenaje de la Isla Lara,  Informe Final Preliminar - Estudios de Ingeniera - Anexo  4"," CVS, Gómez Cajiao Asociados CIA.  Ltda. ","1,991"
196,"Estudio de Factibilidad  para la Solución del  Problema  de Drenaje  y Control de Inundaciones en El Caño Bugre y Ciénaga Grande de Lorica y Diseño del Sistema de Drenaje de la Isla Lara,  Informe Final Preliminar - Estudios Socioeconómicos - Anexo  1"," CVS, Gómez Cajiao Asociados CIA. Ltda. ","1,991"
197,"Estudio de Factibilidad  para la Solución del  Problema  de Drenaje  y Control de Inundaciones en El Caño Bugre y Ciénaga Grande de Lorica y Diseño del Sistema de Drenaje de la Isla Lara,  Informe Final  -Preliminar."," CVS, Gómez Cajiao Asociados CIA. Ltda. ","1,991"
198,"Estudio de Factibilidad  para la Solución del  Problema  de Drenaje  y Control de Inundaciones en El Caño Bugre y Ciénaga Grande de Lorica y Diseño del Sistema de Drenaje de la Isla  De Lara,  Anexo Estudios Hidrológicos Isla de Lara Preliminar."," CVS, Gómez Cajiao Asociados CIA. Ltda. ","1,991"
199,"Estudio de Factibilidad  para la Solución del  Problema  de Drenaje  y Control de Inundaciones en El Caño Bugre y Ciénaga Grande de Lorica y Diseño del Sistema de Drenaje de La Isla De Lara,  Informe Final  - Preliminar.- Anexo 8 -Análisis Financiero."," CVS, Gómez Cajiao Asociados CIA. Ltda. ","1,991"
200,Estudio de Factibilidad para la solución del problema de drenaje y control de inundaciones en el Caño Bugre y ciénaga Grande de Lorica y Diseños del sistema de Drenaje de la Isla de Lara,"CVS, Gómez,  Cajiao y Asociados CIA. Ltda.","1,991"
201,"Diagnóstico Preliminar de la Microcuenca  Hidrográfica Arroyo Pueblo Seco,  Municipio de Montería ","CVS, Gustavo Adolfo Montenegro D'Martino-Consultor","1,999"
202,"Diagnóstico Preliminar de la Microcuenca Arroyo Carreto, -Municipio de Montería"," CVS, Orlando Lafont Quiñones","1,999"
203,"Diagnóstico Preliminar de la Microcuenca Arroyo  Sordo, Montería"," CVS, Gustavo Adolfo Montenegro D'Martino - Consultor","1,999"
204,Plan de Ordenamiento y Manejo Integral de   la Microcuenca  Aguas Blancas.  Municipio de Montería," CVS, Hernán Rivera, Luis Posada, Janeth Pedroza","1,990"
205,"Diagnóstico Preliminar de la Microcuenca Quebrada Del Limón,  Municipio de Montería
"," CVS, José Arturo Molina Arcia -Ingeniero Agrónomo","2,001"
206,"Diagnóstico Preliminar de la Microcuenca Quebrada San Rafael,  Municipio de Montería"," CVS, Álvaro Montoya Coronado- Ingeniero Agrónomo - Consultor","2,001"
207,"Diagnóstico Preliminar de la Microcuenca Hidrográfica Arroyo San Jerónimo,  Municipio de Montería"," CVS, Máximo Castillo Martínez - Ingeniero Agrónomo - Consultor","1,999"
208,"Diagnóstico preliminar de la Microcuenca Hidrográfica Quebrada La Manta,  Municipio de Montería"," CVS, Juan Carlos Fierro Castañeda -Ingeniero Agrónomo- Consultor","2,001"
209,"Diagnóstico preliminar de la Microcuenca Hidrográfica Quebrada Cuba,  Municipio de Montería"," CVS, Ramón Castillo Morales - Ingeniero Agrónomo - Consultor","2,000"
211,"Diagnóstico preliminar de la Microcuenca Arroyo Cieneguita,  Municipio de Montería"," CVS, Álvaro Raymundo Franco Asís -Ingeniero Agrónomo","2,000"
212,"Diagnóstico preliminar de la Microcuenca Arroyo Boca Seca,  Municipio de Montería","CVS, Emiro Antonio Chamorro Marimón","1,999"
213,"Diagnóstico preliminar de la Microcuenca  Hidrográfica del Arroyo La Chispa,  Municipio de Montería","CVS, Lidys Judith Araujo Romero-Ingeniero Agrónomo - Consultor","1,999"
214,"Diagnóstico preliminar de la Microcuenca Arroyo El Encanto,  Municipio de San Carlos"," CVS, José Alfredo Gómez Crawford- Ingeniero Agrónomo - Consultor","2,000"
215,"Diagnóstico preliminar de la Microcuenca  Hidrográfica Arroyo Guacharacal,  Municipio de San Carlos"," CVS, Tania Cruz Ospina - Ingeniera Forestal ","2,000"
216,"Diagnóstico preliminar de la Microcuenca Arroyo La Palma,  Municipio de San Carlos"," CVS, Jorge Antonio Velandia Ramírez Ingeniero Agrónomo - consultor","2,000"
217,"Diagnóstico Preliminar de la Microcuenca  Hidrográfica Quebrada Honda,  Municipio de Tierralta"," CVS, Oscar Alfredo Franco Cardoza - Ingeniero Agrónomo -Especialista de Evaluación Socioeconómica de Proyectos","2,000"
218,"Diagnóstico preliminar Microcuenca Quebrada Tay,  Municipio de Tierralta"," CVS, Luis Carlos Luna Ayala - Ingeniero Agrónomo - Técnico Profesional en Gestión de Recursos Naturales","2,000"
219,"Diagnóstico preliminar de la Microcuencas Hidrográficas Arroyos Achote y Caracoly,  Municipio de Chinú","CVS, Manuel Cordero","1,992"
220,"Diagnóstico preliminar de la Microcuenca Hidrográfica del Arroyo Boca de la Ciénaga, Municipio de  San Carlos"," CVS, Álvaro Luis Montoya Coronado Ingeniero Agrónomo -Consultor","2,000"
221,"Diagnóstico Preliminar de la Microcuenca Hidrográfica de la Quebrada Los Zambos,  Municipio de Buenavista"," CVS, Rafael Novoa Yánez - Ingeniero Agrónomo","1,997"
222,"Diagnóstico Preliminar de la Microcuenca  Quebrada Tucurá, Municipios de Valencia y Tierralta"," CVS, Grupo Forestal","2,001"
223,"Diagnóstico Preliminar de la Microcuenca Hidrográfica del Arroyo Aguas Negras,  Municipio de Sahagún"," CVS, Victoriano Ruydíaz G. - Consultor","2,000"
224,Diagnóstico Preliminar de la Microcuenca El Ceibo- Informe Final," CVS, Doris Mejía Ávila -I.F.","1,993"
225,"Diagnóstico Preliminar de la Microcuenca Hidrográfica Arroyo Hondo, De Los Municipios de: Purísima, Lorica y San Antero"," CVS, Angilberto Gutiérrez Tuirán - Ingeniero Agrónomo","1,999"
227,"Diagnóstico Preliminar de la Microcuenca del Arroyo El León, Municipio de  Buenavista"," CVS, Oscar Contreras Herazo - Ingeniero Forestal","1,999"
228,"Diagnóstico Preliminar de las Microcuencas Hidrográficas de Los Caños La Horqueta y Mocho de Belén,  Municipio de Moñitos"," CVS, Igor Peniche Villadiego ","2,000"
229,"Diagnóstico Preliminar de la Microcuenca Hidrográfica de La Quebrada San Mateo,  Municipio de Montelíbano"," CVS, Ermelinda Rosa Hoyos Peñate - Ingeniero Agrónomo - Consultor","2,000"
230,"Sistema de Posicionamiento Global, Memorias del Curso  Teórico Practico - GPS"," CVS,  Instructora: María del Pilar Rodríguez González Ingeniera Catastral y Geodesta","2,000"
231,"Diagnóstico Preliminar de la Microcuenca Hidrográfica  Del Arroyo Guayacán,  Municipio de Chimá - Contiene Un (1) Diskett"," CVS, Carlos Felipe Botero Restrepo - I.A.","2,000"
232,"Diagnóstico Preliminar de la Microcuenca Hidrográfica Del Arroyo Santiago,  en Los Municipios de: Ciénaga de Oro y Sahagún","CVS, Alberto Ortega Morelo - Consultor","2,000"
233,Diagnóstico Preliminar de la Microcuenca Hidrológica de La Quebrada Las Tinas," CVS, Jaime De La Ossa Lastre - Ingeniero Agrónomo","1,997"
234,"Proyecto Ciénaga de Lorica y Caño Bugre, Drenaje y Protección Contra Inundaciones.  Estudio de Factibilidad, Informe Final. Anexo Volumen 2",CVS/ Instituto Colombiano de Hidrología Meteorología y Adecuación de Tierras - HIMAT- Gómez Cajiao,"1,991"
235,Factibilidad de la Promotora Minera para El Departamento de Córdoba -Volumen I Diagnostico Integral,CVS / INPRO LTDA.  ,"1,993"
236,"Diagnóstico preliminar de la Microcuenca Hidrográfica del arroyo Chispero, Montería."," CVS, Larry López","1,999"
237,"Diagnóstico preliminar de la Microcuenca Hidrográfica del arroyo Bocón, Purísima.","CVS, Manuel Cordero","1,991"
238,Diseño de un plan  de salvamento de flora y fauna en la zona de embalse y diseño de un plan de repoblamiento de áreas de reserva del proyecto multipropósito Urrá I.,Universidad de Córdoba/ Fundación Neotrópicos/CVS ,"1,996"
239,"Diagnóstico preliminar de la Microcuenca Hidrográfica del arroyo La Burra, San Carlos."," CVS, Carmelo José Hernández Flórez","1,992"
240,"Proyecto de pequeña irrigación La Burra, Sahagún. Estudio de impacto ambiental","CVS, Adriano Altamiranda","1,997"
241,"Diagnóstico básico de la Microcuenca quebrada La Quebradona, Ayapel.  Informe Final (2 tomos)","CVS, Agroservicios Ltda.","1,992"
242,"Diagnóstico preliminar de la Microcuenca Hidrográfica del arroyo La Burra, San Carlos."," CVS, Fredy Alonso Padilla Ricardo","2,000"
243,Levantamiento Topográfico ciénaga de Betancí,"CVS, Orlando Padilla","2,001"
244,Diagnóstico Integral de la ciénaga de Betancí.  Informe Final,"CVS, Consultoría del Caribe","1,998"
245,Microembalse San Antero.  Estudio de factibilidad y diseño. Propuesta Técnico-económica,"CVS, INCCO Ltda.","1,989"
246,Contaminación de la Ciénaga de Ayapel,"CVS, Jorge Miranda Buelvas","1,998"
247,"Diagnóstico preliminar de la microcuenca hidrográfica quebrada Can, Montelíbano"," CVS, Hilario Antonio Núñez Arteaga","1,997"
248,"Diagnóstico preliminar de la Microcuenca Hidrográfica del Caño de Las Flores, Montería/Cereté. "," CVS, Félix Donado Conde","1,999"
249,Diagnóstico preliminar de la Microcuenca Hidrográfica del arroyo El Bocón. Purísima Identificación de formas asociativas," CVS, Manuel Cordero Salazar","1,991"
250,"Diagnóstico preliminar de la Microcuenca Hidrográfica  quebrada Las Tinas, Puerto Escondido","CVS, Arol Jiménez Santa María","2,000"
251,Pautas para el manejo de la actividad minera en la región de Ayapel," CVS/Centro de Investigaciones Ambientales, Universidad de Antioquia","1,991"
252,"Diagnóstico preliminar de la Microcuenca Hidrográfica del Arroyo San Mateo, Lorica", CVS/José Miguel Oviedo Agámez,"2,000"
253,"Diagnóstico preliminar de la Microcuenca Hidrográfica del arroyo Patico, Momil", CVS/Rosario Ganem Díaz,"1,991"
254,"Diagnóstico preliminar de la Microcuenca Hidrográfica de los caños Antoliano, Zoila, Lile y Campo Tranquilo, Moñitos", CVS/ Cesar Behaine Abdallah,"2,000"
255,"Diagnóstico preliminar de la Microcuenca Hidrográfica del arroyo Trementino, San Carlos", CVS/ Jairo Ríos Urueta,"1,999"
256,"Diagnóstico preliminar de la Microcuenca Hidrográfica del arroyo Carrizal, San Carlos", CVS/ Luis Antonio Cabrales Buelvas,"1,999"
257,Factibilidad de la Promotora Minera para el Departamento de Córdoba.  Volumen II. Formulación y Anexos, CVS/ Ingeniería y Proyectos Regionales,"1,994"
258,Evaluación de un proceso hidroeléctrico Urrá," CVS/ Resguardo Indígena Zenú, San Andrés de Sotavento","2,001"
259,"Estudio geoeléctrico para el acueducto de la vereda Escobalito, Sahagún.", CVS/ Héctor Mario Herrera Parra-Ing. Geólogo,"1,997"
260,"Evaluación y Plan de Manejo Ambiental para el estudio y diseño del Alcantarillado del Corregimiento Nuevo Agrado, San Antero.", CVS/ Gustavo A. Zuletas Salas - Consultor,"1,999"
261,Mejoramiento y Adecuación de Vías en la Zona Platanera de los Municipios Socios de ASOMCARIBE, CVS/ ASOMCARIBE,"2,000"
262,"Estudio Geoeléctrico para la Prospección de Agua Subterránea en la Zona comprendida entre Pueblo Nuevo, Planeta Rica y Buenavista.", CVS/ Emerson Tolosa Orozco- Augusto cordero Negrete - Ingenieros,"1,986"
263,"Estudio Hidrológico del Arroyo El Silencio, San Antero", CVS/ Oleoducto Central S.A. OCENSA,"1,996"
264,Prospección de Problemas Producibles con la Construcción de la Central Hidroeléctrica de Urrá I," CVS/ Universidad de Córdoba, Centro de Investigaciones CIUC","1,989"
265,"Estudio y Diseño de la Optimización del Acueducto del Municipio de Cereté Departamento de Córdoba, Informe Final", CVS/ Miguel Alejandro Jiménez - Ingeniero Consultor,"1,998"
266, Estudio de Factibilidad  para la solución del problema de drenaje y control de inundaciones en el Caño Bugre y Ciénaga Grande de Lorica y Diseño del Sistema de Drenaje de la Isla Lara., CVS/ Gómez Cajiao y Asociado CIA. Ltda.,"1,991"
267,Posibles Efectos Naturales y Socioeconómico del Fenómeno Frío del pacífico ( La Niña) en Colombia en el Segundo Semestre de 1998 y Primer Semestre de 1999," CVS/ IDEAM, Instituto Hidrología, Meteorología y Estudios Ambientales","1,999"
268,la Problemática Ambiental de Córdoba, CVS/ Ministerio del Medio Ambiente.,"1,995"
269,Guía Ambiental para Proyectos de Transmisión de Energía Eléctrica, CVS/ Ministerio del Medio Ambiente,"1,999"
270,"Gerencia de Transporte de Energía, Dirección Incorporación de Bienes y Servicios Equipo Administración Ambiental, Estudio Geoléctrico y Condiciones Hidrogeológicas en la Subestación Cerromatoso"," CVS/ Interconexión Eléctrica - ISA  S.A. E.S.P, Geo Minas","1,998"
271,"Estudio de Factibilidad Proyecto de Adecuación de Tierras Montería-Lorica, Informe Final Vol. VI, Anexo 13, Plan de Ingeniería, Anexo 14, Geotecnia y Fuentes de Materiales", CVS/FONADE - INAT,"1,995"
272,"Ordenamiento y Manejo Zona Manglar Delta Río Sinú, Informe Final, Vol. III"," CVS/ BID, INCCO LTDA.","1,989"
273,Primer Congreso Nacional de Cunecas Hidrográficas, CVS/ Interconexión Eléctrica - INDERENA,"1,982"
275,"Terminal de Coveñas, estudio Ecológico y Ambiental, Final",CVS/,"1,985"
276,"Golfo de Morrosquillo, Plan de Ordenamiento Físico de Tolú Grande, Informe Final,  Libro I- El Diagnostico, Libro II El Plan- Anexo al Libro II La Reglamentación"," CVS/ Universidad Nacional de Colombia, Corporación Nacional del Turismo","1,984"
277,Estudio de Factibilidad Técnica Económica  del Dragado  del Delta  del Río Sinú.( ejemplares).D575+D591,CVS/ Ricardo José Cogollo Ponce Ingeniero Civil,"1,992"
278,Estudio Río Sinú Prioridades Obras de Protección de Orillas, CVS/  Ingeniero Germán Monsalve  ,"1,991"
279,Estudio del Planeamiento Regional   para el Desarrollo Integrado de las Cuenca de los  Río Sinú y  San Jorge ATN/SF1589-CO," CVS/ Overseas Bechtel, Inc","1,978"
280,Propuesta Técnico-Económica para la Ampliación del Estudio Ecológico Ambiental de la Ciénaga de Lorica, CVS/ Centro de Investigaciones Ambientales,"1,992"
281,"Estudios Básicos para un Plan de Ocupación del Espacio de la Cuenca del Río Sinú, Estudio Climático Zonificación del Medio Físico"," CVS/ Centro Interamericano de Fotointerpretación, CIAF","1,986"
282,Estudio de Suelos Preliminar," CVS/ Irusta Y Fortoul - Ingeniero Agrónomo, Instituto Fomento Algodonero","1,959"
283,Sectorización y Caracterización General de Cuencas Hidrográficas en el Departamento de Córdoba," CVS - Subdirección Técnica / BID, INPRO, Reinaldo Prieto Mendoza-Consultaría","1,990"
284,"Mapa Geológico  del Departamento de Córdoba, Geología, Recursos Minerales y Amenazas Naturales, Memorias Explicativa."," CVS/  INGEOMINAS/Humberto González I., Ana Cristina Londoño","1,998"
285,"Mapa ecológico del departamento de Córdoba, Geología, Recursos Minerales y Amenazas Naturales, Memorias Explicativa Resumida"," CVS/  INGEOMINAS/Humberto González I., Ana Cristina Londoño","1,999"
286,"Presa de Uso Múltiple Cuenca Río San Jorge,  Informe Hidrológico.", CVS/ AMBIENTEC,"1,988"
287,Plan Ordenamiento y Manejo de la Zona de Manglar Antiguo Delta Río Sinú. Informe Final. Vol. II , CVS/ INCCO Ltda.,"1,989"
288,Plan de Manejo Ambiental del Arroyo San Miguel, CVS/ Álvarez y Collins Ltda./Zoraya Vasquine Martínez Lara -Geóloga,"1,996"
289,Diseño del Sistema de Información Geográfica CVS, CVS/ Grupo SIG- DINFO Ltda.,"2,003"
290,Programa de Adecuación de Tierras 1991-2000 - Documento DNP-2538-UDA., CVS/ Ministerio de Agricultura,"1,991"
291,La Cultura en el Departamento de Córdoba , CVS/ Tova Maria Solo,"1,991"
292,Guía de Procedimiento para el Diagnóstico y  el Seguimiento Ambiental de los Proyectos Pequeña Irrigación, CVS/  HIMAT/ INDERENA/ Prado Sevilla,"1,991"
293,Plan de Monitoreo del Golfo de Morrosquillo. III Fase. Fauna Asociada a las Raíces de Mangle Rojo. Informe Final , CVS/ Luz Marina Leyton Yara- Fernando Delgado Cuadro,"1,992"
294,Plan Maestro de Desarrollo Integral de la Cuenca Hidrográfica del Río Sinú- Programas Agropecuarios Redes Hidroagrícolas.,CVS/ BID,"1,980"
295,Estudio Preliminar Sobre la Obtención y Evaluación de Pulpas al Sulfato a Partir del Aliso (Alnus jorullesis), CVS/ Universidad Industrial Santander,"1,981"
296,"Proceso de Mármol, Cantera los Andes, Vol. I. Evaluación de Impacto Ambiental", CVS/ Consultoría Agroforestales Ltda.,"1,999"
297,"Proceso de Mármol, Cantera los Andes, Vol. II. Plan de Manejo Ambiental", CVS/ Consultoría Agroforestales Ltda.,"1,999"
